Tooth and Nail,climate,2007,https://en.wikipedia.org/wiki/Tooth_and_Nail_(film)
20 Years After,atomic bomb,2008,https://en.wikipedia.org/wiki/20_Years_After
Babylon A.D.,war,2008,https://en.wikipedia.org/wiki/Babylon_A.D.
The Day the Earth Stood Still,aliens,2008,https://en.wikipedia.org/wiki/The_Day_the_Earth_Stood_Still_(2008_film)
Doomsday,disease,2008,https://en.wikipedia.org/wiki/Doomsday_(2008_film)
The Happening,disease,2008,https://en.wikipedia.org/wiki/The_Happening_(2008_film)
WALL-E,climate,2008,https://en.wikipedia.org/wiki/WALL-E
2012,climate,2009,https://en.wikipedia.org/wiki/2012_(film)
9,ai,2009,https://en.wikipedia.org/wiki/9_(2009_animated_film)
Battlestar Galactica: The Plan,ai,2009,https://en.wikipedia.org/wiki/Battlestar_Galactica:_The_Plan
Blue Gender,disease,2009,https://en.wikipedia.org/wiki/Blue_Gender
Carriers,disease,2009,https://en.wikipedia.org/wiki/Carriers_(film)
Daybreakers,disease,2009,https://en.wikipedia.org/wiki/Daybreakers
Earth 2100,climate,2009,https://en.wikipedia.org/wiki/Earth_2100
Pandorum,overpopulation,2009,https://en.wikipedia.org/wiki/Pandorum
The Road,climate,2009,https://en.wikipedia.org/wiki/The_Road_(2009_film)
Terminator Salvation,ai,2009,https://en.wikipedia.org/wiki/Terminator_Salvation
Watchmen,atomic bomb,2009,https://en.wikipedia.org/wiki/Watchmen_(film)
Zombieland,zombies,2009,https://en.wikipedia.org/wiki/Zombieland
Arctic Blast,climate,2010,https://en.wikipedia.org/wiki/Arctic_Blast_(film)
The Book of Eli,atomic bomb,2010,https://en.wikipedia.org/wiki/The_Book_of_Eli
Legion,religious,2010,https://en.wikipedia.org/wiki/Legion_(2010_film)
Monsters,aliens,2010,https://en.wikipedia.org/wiki/Monsters_(2010_film)
Resident Evil: Afterlife,zombies,2010,https://en.wikipedia.org/wiki/Resident_Evil:_Afterlife
Skyline,zombies,2010,https://en.wikipedia.org/wiki/Skyline_(film)
Stake Land,zombies,2010,https://en.wikipedia.org/wiki/Stake_Land
4:44 Last Day on Earth,climate,2011,https://en.wikipedia.org/wiki/4:44_Last_Day_on_Earth
Battle: Los Angeles,war,2011,https://en.wikipedia.org/wiki/Battle:_Los_Angeles
The Darkest Hour,ai,2011,https://en.wikipedia.org/wiki/The_Darkest_Hour_(film)
Deadheads,zombies,2011,https://en.wikipedia.org/wiki/Deadheads_(film)
The Divide,atomic bomb,2011,https://en.wikipedia.org/wiki/The_Divide_(film)
Hell,climate changes,2011,https://en.wikipedia.org/wiki/Hell_(2011_film)
Perfect Sense,disease,2011,https://en.wikipedia.org/wiki/Perfect_Sense
Rise of the Planet of the Apes,disease,2011,https://en.wikipedia.org/wiki/Rise_of_the_Planet_of_the_Apes
War of the Dead,zombies,2011,https://en.wikipedia.org/wiki/War_of_the_Dead
Aftermath,atomic bomb,2012,https://en.wikipedia.org/wiki/Aftermath_(2012_American_film)
Cockneys vs Zombies,zombies,2012,https://en.wikipedia.org/wiki/Cockneys_vs_Zombies
Dredd,climate,2012,https://en.wikipedia.org/wiki/Dredd
Hunger Games,war,2012,https://en.wikipedia.org/wiki/The_Hunger_Games_(film)
Juan of the Dead,zombies,2012,https://en.wikipedia.org/wiki/Juan_of_the_Dead
Resident Evil: Retribution,zombies,2012,https://en.wikipedia.org/wiki/Resident_Evil:_Retribution
Seeking a Friend for the End of the World,asteroid,2012,https://en.wikipedia.org/wiki/Seeking_a_Friend_for_the_End_of_the_World
After the Dark,atomic bomb,2013,https://en.wikipedia.org/wiki/After_the_Dark
Antisocial,disease,2013,https://en.wikipedia.org/wiki/Antisocial_(film)
The Colony,climate,2013,https://en.wikipedia.org/wiki/The_Colony_(2013_film)
The Host,aliens,2013,https://en.wikipedia.org/wiki/The_Host_(2013_film)
Oblivion,aliens,2013,https://en.wikipedia.org/wiki/Oblivion_(2013_film)
Pacific Rim,monster,2013,https://en.wikipedia.org/wiki/Pacific_Rim_(film)
Rapture-Palooza,religious,2013,https://en.wikipedia.org/wiki/Rapture-Palooza
Snowpiercer,climate,2013,https://en.wikipedia.org/wiki/Snowpiercer
These Final Hours,asteroid,2013,https://en.wikipedia.org/wiki/These_Final_Hours
This Is the End,natural disaster,2013,https://en.wikipedia.org/wiki/This_Is_the_End
